source,target,value
United Kingdom,The Beatles,290.4
The Beatles,rock,145.2
The Beatles,pop,145.2
United States,Elvis Presley,231.2
Elvis Presley,rock and roll,77.0667
Elvis Presley,pop,77.0667
Elvis Presley,country,77.0667
United States,Michael Jackson,277.3
Michael Jackson,pop,55.46
Michael Jackson,rock,55.46
Michael Jackson,dance,55.46
Michael Jackson,soul,55.46
Michael Jackson,r&b,55.46
United Kingdom,Elton John,208.0
Elton John,pop,104.0
Elton John,rock,104.0
United Kingdom,Queen,184.0
Queen,rock,184.0
United States,Madonna,181.7
Madonna,pop,60.5667
Madonna,dance,60.5667
Madonna,electronica,60.5667
United Kingdom,Led Zeppelin,142.4
Led Zeppelin,hard rock,47.4667
Led Zeppelin,blues rock,47.4667
Led Zeppelin,folk rock,47.4667
Barbados,Rihanna,335.3
Rihanna,r&b,83.825
Rihanna,pop,83.825
Rihanna,dance,83.825
Rihanna,hip-hop,83.825
United Kingdom,Pink Floyd,123.8
Pink Floyd,progressive rock,61.9
Pink Floyd,psychedelic rock,61.9
United States,Eminem,325.7
Eminem,hip-hop,325.7
United States,Mariah Carey,205.8
Mariah Carey,r&b,51.45
Mariah Carey,pop,51.45
Mariah Carey,soul,51.45
Mariah Carey,hip-hop,51.45
United States,Taylor Swift,250.4
Taylor Swift,pop,50.08
Taylor Swift,country,50.08
Taylor Swift,rock,50.08
Taylor Swift,folk,50.08
Taylor Swift,alternative,50.08
United States,Beyoncé,226.5
Beyoncé,r&b,113.25
Beyoncé,pop,113.25
United States,Whitney Houston,155.3
Whitney Houston,r&b,38.825
Whitney Houston,soul,38.825
Whitney Houston,pop,38.825
Whitney Houston,gospel,38.825
United States,Eagles,152.2
Eagles,rock,152.2
Canada,Celine Dion,143.0
Celine Dion,pop,71.5
Celine Dion,rock,71.5
Australia,AC/DC,130.2
AC/DC,hard rock,43.4
AC/DC,blues rock,43.4
AC/DC,rock and roll,43.4
United Kingdom,The Rolling Stones,102.7
The Rolling Stones,rock,51.35
The Rolling Stones,blues rock,51.35
Canada,Drake,413.06
Drake,hip-hop,137.6867
Drake,r&b,137.6867
Drake,pop,137.6867
United States,Garth Brooks,165.3
Garth Brooks,country,165.3
United States,Kanye West,258.3
Kanye West,hip-hop,86.1
Kanye West,electronic,86.1
Kanye West,pop,86.1
United States,Billy Joel,134.4
Billy Joel,pop,67.2
Billy Joel,rock,67.2
Canada,Justin Bieber,138.95
Justin Bieber,pop,92.6333
Justin Bieber,teen pop,92.6333
Justin Bieber,dance pop,92.6333
United States,Justin Bieber,138.95
United Kingdom,Ed Sheeran,246.7
Ed Sheeran,pop,123.35
Ed Sheeran,folk pop,123.35
United States,Bruno Mars,203.6
Bruno Mars,pop rock,101.8
Bruno Mars,r&b,101.8
United States,Bruce Springsteen,127.9
Bruce Springsteen,rock,127.9
Ireland,U2,114.6
U2,rock,114.6
United States,Aerosmith,104.8
Aerosmith,hard rock,104.8
United Kingdom,Phil Collins,99.4
Phil Collins,rock,33.1333
Phil Collins,progressive rock,33.1333
Phil Collins,adult contemporary,33.1333
United States,Barbra Streisand,98.4
Barbra Streisand,pop,49.2
Barbra Streisand,adult contemporary,49.2
Sweden,ABBA,69.0
ABBA,pop,34.5
ABBA,disco,34.5
United States,Frank Sinatra,40.2
Frank Sinatra,pop,13.4
Frank Sinatra,swing,13.4
Frank Sinatra,easy listening,13.4
United States,Katy Perry,172.9
Katy Perry,pop,172.9
United States,Chris Brown,199.7
Chris Brown,pop,66.5667
Chris Brown,r&b,66.5667
Chris Brown,hip-hop,66.5667
United States,Jay-Z,136.4
Jay-Z,hip-hop,136.4
United States,Metallica,105.6
Metallica,heavy metal,52.8
